date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:38:53	18288/18288	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%220-4770-3f8ee060%22	http://www.microschematic.com/INDEX.swf	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/INDEX.swf	(from )
08:38:55	2498/2498	---M--	200	added ('OK')	text/html	etag:%220-9c2-3f96c86a%22	http://www.microschematic.com/inde.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/inde.html	(from )
08:38:55	1379/1379	---M--	200	added ('OK')	text/html	etag:%220-563-3f8c53ca%22	http://www.microschematic.com/zarch.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zarch.html	(from )
08:38:56	308/-1	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2026%20Nov%202006%2015:09:03%20GMT	http://www.microschematic.com/robots.txt		(from http://www.microschematic.com/inde.html)
08:38:57	3225/3225	---M--	200	added ('OK')	text/html	etag:%220-c99-3f8c4d33%22	http://www.microschematic.com/inst.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/inst.html	(from )
08:38:57	836/836	---M--	200	added ('OK')	text/html	etag:%220-344-3f8c536b%22	http://www.microschematic.com/ydir.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ydir.html	(from )
08:38:58	837/837	---M--	200	added ('OK')	text/html	etag:%220-345-3f8c537f%22	http://www.microschematic.com/yexp.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/yexp.html	(from )
08:38:59	2875/2875	---M--	200	added ('OK')	text/html	etag:%220-b3b-3f8c546e%22	http://www.microschematic.com/zioreg.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zioreg.html	(from )
08:38:59	1772/1772	---M--	200	added ('OK')	text/html	etag:%220-6ec-3f8c5916%22	http://www.microschematic.com/zzaddr.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zzaddr.html	(from )
08:39:00	2641/2641	---M--	200	added ('OK')	text/html	etag:%220-a51-3f8c5425%22	http://www.microschematic.com/zinter.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zinter.html	(from )
08:39:01	1155/1155	---M--	200	added ('OK')	text/html	etag:%220-483-3f8c53e8%22	http://www.microschematic.com/zcpu.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zcpu.html	(from )
08:39:01	1410/1410	---M--	200	added ('OK')	text/html	etag:%220-582-3f8c54a8%22	http://www.microschematic.com/zper.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zper.html	(from )
08:39:02	2012/2012	---M--	200	added ('OK')	text/html	etag:%220-7dc-3f8c54b4%22	http://www.microschematic.com/zpmemory.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zpmemory.html	(from )
08:39:02	1920/1920	---M--	200	added ('OK')	text/html	etag:%220-780-3f8c5499%22	http://www.microschematic.com/zpcount.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zpcount.html	(from )
08:39:03	2559/2559	---M--	200	added ('OK')	text/html	etag:%220-9ff-3f8c552f%22	http://www.microschematic.com/zsram.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zsram.html	(from )
08:39:03	2482/2482	---M--	200	added ('OK')	text/html	etag:%220-9b2-3f8c5410%22	http://www.microschematic.com/zgpr.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zgpr.html	(from )
08:39:04	1437/1437	---M--	200	added ('OK')	text/html	etag:%220-59d-3f8c538c%22	http://www.microschematic.com/zalu.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zalu.html	(from )
08:39:04	1225/1225	---M--	200	added ('OK')	text/html	etag:%220-4c9-3f8c5549%22	http://www.microschematic.com/zsreg.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zsreg.html	(from )
08:39:05	2109/2109	---M--	200	added ('OK')	text/html	etag:%220-83d-3f8c545e%22	http://www.microschematic.com/ziolines.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ziolines.html	(from )
08:39:06	1390/1390	---M--	200	added ('OK')	text/html	etag:%220-56e-3f8c57fc%22	http://www.microschematic.com/zwatch.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zwatch.html	(from )
08:39:06	1572/1572	---M--	200	added ('OK')	text/html	etag:%220-624-3f8c556d%22	http://www.microschematic.com/ztc.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ztc.html	(from )
08:39:06	1910/1910	---M--	200	added ('OK')	text/html	etag:%220-776-3f8c5654%22	http://www.microschematic.com/ztcpwm.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ztcpwm.html	(from )
08:39:07	1614/1614	---M--	200	added ('OK')	text/html	etag:%220-64e-3f8c539d%22	http://www.microschematic.com/zanalog.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zanalog.html	(from )
08:39:07	1547/1547	---M--	200	added ('OK')	text/html	etag:%220-60b-3f8c5794%22	http://www.microschematic.com/zuart.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zuart.html	(from )
08:39:08	1624/1624	---M--	200	added ('OK')	text/html	etag:%220-658-3f8c550c%22	http://www.microschematic.com/zspi.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zspi.html	(from )
08:39:08	1379/1379	---M--	200	added ('OK')	text/html	etag:%220-563-3f8c54fd%22	http://www.microschematic.com/zsleep.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zsleep.html	(from )
08:39:09	2591/2591	---M--	200	added ('OK')	text/html	etag:%220-a1f-3f8c542f%22	http://www.microschematic.com/ziolineb.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ziolineb.html	(from )
08:39:09	2582/2582	---M--	200	added ('OK')	text/html	etag:%220-a16-3f8c543f%22	http://www.microschematic.com/ziolined.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ziolined.html	(from )
08:39:10	1547/1547	---M--	200	added ('OK')	text/html	etag:%220-60b-3f8c5822%22	http://www.microschematic.com/zwdtuse.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zwdtuse.html	(from )
08:39:10	1349/1349	---M--	200	added ('OK')	text/html	etag:%220-545-3f8c5808%22	http://www.microschematic.com/zwdtirq.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zwdtirq.html	(from )
08:39:11	1850/1850	---M--	200	added ('OK')	text/html	etag:%220-73a-3f8c5816%22	http://www.microschematic.com/zwdtpres.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/zwdtpres.html	(from )
08:39:11	1154/1154	---M--	200	added ('OK')	text/html	etag:%220-482-3f8c5734%22	http://www.microschematic.com/ztimskx.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ztimskx.html	(from )
08:39:11	1338/1338	---M--	200	added ('OK')	text/html	etag:%220-53a-3f8c55c3%22	http://www.microschematic.com/ztcntxs.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ztcntxs.html	(from )
08:39:12	1737/1737	---M--	200	added ('OK')	text/html	etag:%220-6c9-3f8c55e2%22	http://www.microschematic.com/ztcpresa.html	C:/My%20Web%20Sites/AVR%20animated%20tutorials/www.microschematic.com/ztcpresa.html	(from )
